date,home,away,model_prob,market_prob,edge,odds,stake,result,bankroll
2019-08-24,Watford,West Ham,0.544,0.43,0.114,1.66,25.9,WIN,1017.09
2019-12-26,Man United,Newcastle,0.57,0.45,0.12,1.72,25.33,WIN,1035.33
2020-03-08,Chelsea,Everton,0.604,0.45,0.154,1.72,33.19,WIN,1059.22
2020-06-21,Aston Villa,Chelsea,0.609,0.344,0.265,1.72,52.96,WIN,1097.36
2020-06-24,Liverpool,Crystal Palace,0.575,0.412,0.164,1.66,40.8,WIN,1124.29
2020-06-25,Southampton,Arsenal,0.567,0.38,0.188,1.72,43.95,LOSS,1080.34
2020-07-02,Man City,Liverpool,0.617,0.45,0.167,1.72,37.48,WIN,1107.32
2020-07-04,Chelsea,Watford,0.608,0.412,0.196,1.66,49.41,WIN,1139.93
2020-07-19,Bournemouth,Southampton,0.566,0.45,0.116,1.66,29.99,LOSS,1109.94
2020-09-20,Chelsea,Liverpool,0.547,0.43,0.117,1.61,31.83,LOSS,1078.11
2020-10-24,Man United,Chelsea,0.563,0.412,0.152,1.72,34.07,LOSS,1044.04
2020-12-21,Chelsea,West Ham,0.543,0.38,0.164,1.66,38.84,WIN,1069.68
2021-01-12,Burnley,Man United,0.524,0.398,0.126,1.66,30.55,LOSS,1039.13
2021-01-30,Man City,Sheffield United,0.562,0.38,0.182,1.61,46.57,LOSS,992.55
2021-02-07,Liverpool,Man City,0.555,0.43,0.124,1.72,25.74,WIN,1011.09
2021-02-17,Everton,Man City,0.554,0.398,0.156,1.66,35.82,WIN,1034.73
2021-05-09,Aston Villa,Man United,0.567,0.412,0.155,1.66,36.41,WIN,1058.76
2021-09-17,Newcastle,Leeds,0.541,0.412,0.129,1.61,33.6,LOSS,1025.16
2021-10-16,Leicester,Man United,0.519,0.398,0.12,1.66,27.99,WIN,1043.63
2021-11-05,Southampton,Aston Villa,0.504,0.38,0.124,1.72,27.05,LOSS,1016.57
2021-12-28,Watford,West Ham,0.529,0.412,0.117,1.66,27.03,WIN,1034.42
2022-01-02,Chelsea,Liverpool,0.53,0.412,0.118,1.72,25.39,WIN,1052.7
2022-01-22,Man United,West Ham,0.531,0.364,0.167,1.72,36.53,LOSS,1016.17
2022-02-26,Man United,Watford,0.522,0.398,0.123,1.72,26.08,LOSS,990.09
2022-03-12,Brighton,Liverpool,0.546,0.43,0.116,1.72,23.9,LOSS,966.2
2022-03-13,Chelsea,Newcastle,0.523,0.412,0.111,1.72,22.3,LOSS,943.89
2023-01-14,Man United,Man City,0.542,0.432,0.11,1.67,23.32,WIN,959.52
2023-02-25,Leicester,Arsenal,0.557,0.397,0.159,1.73,31.41,LOSS,928.11
2023-03-19,Arsenal,Crystal Palace,0.545,0.432,0.113,1.67,23.49,WIN,943.85
2023-04-25,Leeds,Leicester,0.496,0.344,0.153,1.62,34.86,LOSS,908.99
2023-04-26,Man City,Arsenal,0.565,0.452,0.114,1.73,21.2,WIN,924.47
2023-08-13,Brentford,Tottenham,0.535,0.38,0.155,1.73,29.51,WIN,946.01
2023-09-30,Newcastle,Burnley,0.596,0.479,0.116,1.67,24.62,LOSS,921.4
2023-10-08,West Ham,Newcastle,0.628,0.401,0.227,1.73,43.06,WIN,952.83
2023-12-02,Newcastle,Man United,0.576,0.454,0.122,1.73,23.96,LOSS,928.87
2023-12-06,Aston Villa,Man City,0.617,0.447,0.17,1.62,38.09,LOSS,890.78
2023-12-09,Aston Villa,Arsenal,0.617,0.5,0.117,1.73,21.33,LOSS,869.45
2024-01-13,Newcastle,Man City,0.587,0.472,0.115,1.67,22.4,WIN,884.45
2024-02-03,Sheffield United,Aston Villa,0.575,0.447,0.128,1.65,26.09,WIN,901.41
2024-10-26,Aston Villa,Bournemouth,0.54,0.413,0.126,1.62,27.56,LOSS,873.85
2025-02-01,Newcastle,Fulham,0.541,0.413,0.128,1.67,24.97,WIN,890.58
2025-04-02,Bournemouth,Ipswich,0.538,0.413,0.125,1.62,26.96,WIN,907.3
